id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,artist,name,album,release,genre
1mtRyrDpNYNHKySCAAk25T,0.795,0.644,3,-10.14,0,0.144,0.94,0.9,0.064,0.845,120.038,audio_features,spotify:track:1mtRyrDpNYNHKySCAAk25T,https://api.spotify.com/v1/tracks/1mtRyrDpNYNHKySCAAk25T,https://api.spotify.com/v1/audio-analysis/1mtRyrDpNYNHKySCAAk25T,153570,4,Boogarins,Make Sure Your Head Is Above - Voice Memo,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie
5DDfRgAtqy66vXXLGgbXKF,0.317,0.783,2,-11.221,1,0.279,0.043,0.012,0.122,0.118,110.281,audio_features,spotify:track:5DDfRgAtqy66vXXLGgbXKF,https://api.spotify.com/v1/tracks/5DDfRgAtqy66vXXLGgbXKF,https://api.spotify.com/v1/audio-analysis/5DDfRgAtqy66vXXLGgbXKF,314038,4,Boogarins,Asmr Manchaca - Sombrouduvida Genesis,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie
0ReIxjkQUQC1f88s37wiEG,0.374,0.479,5,-9.642,0,0.037,0.0358,0.0182,0.241,0.379,122.997,audio_features,spotify:track:0ReIxjkQUQC1f88s37wiEG,https://api.spotify.com/v1/tracks/0ReIxjkQUQC1f88s37wiEG,https://api.spotify.com/v1/audio-analysis/0ReIxjkQUQC1f88s37wiEG,351341,4,Boogarins,Noite Bright,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie
3I1BfrXg5BfZQSh3wfKT3b,0.385,0.762,9,-10.152,1,0.0648,0.0161,0.0129,0.665,0.36,127.312,audio_features,spotify:track:3I1BfrXg5BfZQSh3wfKT3b,https://api.spotify.com/v1/tracks/3I1BfrXg5BfZQSh3wfKT3b,https://api.spotify.com/v1/audio-analysis/3I1BfrXg5BfZQSh3wfKT3b,169482,4,Boogarins,Lvco 2,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie
5gY4pVH7l3w6FbLmHOvtOb,0.578,0.722,9,-8.319,0,0.0386,0.493,0.0734,0.132,0.381,118.029,audio_features,spotify:track:5gY4pVH7l3w6FbLmHOvtOb,https://api.spotify.com/v1/tracks/5gY4pVH7l3w6FbLmHOvtOb,https://api.spotify.com/v1/audio-analysis/5gY4pVH7l3w6FbLmHOvtOb,298009,4,Boogarins,As Chances,Sombrou Dúvida,2019-05-10,indie
58obzAGVweKL0bDAfmMIwv,0.717,0.678,2,-5.842,1,0.0514,0.297,3.44e-06,0.367,0.612,117.022,audio_features,spotify:track:58obzAGVweKL0bDAfmMIwv,https://api.spotify.com/v1/tracks/58obzAGVweKL0bDAfmMIwv,https://api.spotify.com/v1/audio-analysis/58obzAGVweKL0bDAfmMIwv,262094,4,Boogarins,Sombra ou Dúvida,Sombrou Dúvida,2019-05-10,indie
28utXfxPwGrBTLDY8owYml,0.559,0.774,4,-6.955,0,0.106,0.685,0.000178,0.441,0.497,126.058,audio_features,spotify:track:28utXfxPwGrBTLDY8owYml,https://api.spotify.com/v1/tracks/28utXfxPwGrBTLDY8owYml,https://api.spotify.com/v1/audio-analysis/28utXfxPwGrBTLDY8owYml,253733,4,Boogarins,Invenção,Sombrou Dúvida,2019-05-10,indie
20vNcZtPUPxgbalSmoN0X9,0.574,0.804,2,-6.421,1,0.0437,0.0279,0.0313,0.27,0.196,122.014,audio_features,spotify:track:20vNcZtPUPxgbalSmoN0X9,https://api.spotify.com/v1/tracks/20vNcZtPUPxgbalSmoN0X9,https://api.spotify.com/v1/audio-analysis/20vNcZtPUPxgbalSmoN0X9,208363,4,Boogarins,Dislexia ou Transe,Sombrou Dúvida,2019-05-10,indie
1RnEWr3WGLi7YZth2k7ann,0.38,0.704,2,-8.456,1,0.124,0.324,0.0227,0.375,0.256,122.383,audio_features,spotify:track:1RnEWr3WGLi7YZth2k7ann,https://api.spotify.com/v1/tracks/1RnEWr3WGLi7YZth2k7ann,https://api.spotify.com/v1/audio-analysis/1RnEWr3WGLi7YZth2k7ann,243930,4,Boogarins,A Tradição,Sombrou Dúvida,2019-05-10,indie
2AMn3OgyRlmQIutu3DPLi4,0.393,0.768,2,-6.514,1,0.0338,0.156,0.00597,0.395,0.246,102.186,audio_features,spotify:track:2AMn3OgyRlmQIutu3DPLi4,https://api.spotify.com/v1/tracks/2AMn3OgyRlmQIutu3DPLi4,https://api.spotify.com/v1/audio-analysis/2AMn3OgyRlmQIutu3DPLi4,220188,3,Boogarins,Nós,Sombrou Dúvida,2019-05-10,indie
3pRcS19EGd62YJVHCXuQ0r,0.635,0.654,2,-7.183,1,0.0319,0.0308,0.0561,0.108,0.545,124.897,audio_features,spotify:track:3pRcS19EGd62YJVHCXuQ0r,https://api.spotify.com/v1/tracks/3pRcS19EGd62YJVHCXuQ0r,https://api.spotify.com/v1/audio-analysis/3pRcS19EGd62YJVHCXuQ0r,174791,4,Boogarins,Tardança,Sombrou Dúvida,2019-05-10,indie
