,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,bow_singul,bow_sir,bow_vodc,bow_y,bow_boulevard,bow_calh,bow_uuhh,bow_oohh,bow_iih,bow_casual,bow_vuel,bow_criat,bow_amigdalit,bow_condicion,bow_lagart,bow_teng,bow_esperanz,bow_plum,bow_desfaz,bow_una,bow_aa-aah,bow_alit,bow_bes,bow_qui,bow_asinh,bow_pá,bow_dinh,"bow_,",bow_porr,bow_rap,bow_filh,bow_man,bow_pret,bow_irm,bow_tip,bow_car,bow_put,bow_famíl,bow_uma,bow_tret,bow_é,bow_:,bow_quatr,bow_pag,bow_men,bow_eu,bow_lei,bow_polic,bow_band,bow_favel,pos_PROPESS,pos_KC,"pos_,",pos_:,pos_N,pos_.,pos_ADV,pos_NUM,pos_ART,pos_PRO-KS-REL,pos_N|DAD,pos_N|AP,pos_),pos_(,pos_!,pos_;,pos_NPROP,pos_VAUX,pos_ADV-KS-REL,pos_PREP|+,pos_KC|[,pos_PCP,pos_PREP,pos_-,pos_?,target
573,1iWSDzXAalOmxqKsQ7Zf8w,0.604,0.861,10,-7.4,0,0.544,0.523,0.0,0.114,0.43,79.861,4,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0034602076124567,0.0069204152249134,0.0034602076124567,0.0,0.0,0.0,0.0138408304498269,0.0,0.0,0.0,0.0,0.0173010380622837,0.0,0.0,0.0,0.0,0.028070175438596492,0.0456140350877193,0.11929824561403508,0.0,0.23859649122807017,0.0,0.03508771929824561,0.0035087719298245615,0.031578947368421054,0.021052631578947368,0.0,0.0,0.0035087719298245615,0.0035087719298245615,0.0,0.0,0.0456140350877193,0.014035087719298246,0.0,0.007017543859649123,0.0,0.0035087719298245615,0.08421052631578947,0.010526315789473684,0.007017543859649123,True
574,6SD4P19dzQ0NyXWdCx8GAN,0.676,0.415,8,-11.978,0,0.122,0.277,1.86e-05,0.111,0.534,128.06,4,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1513002364066193,0.0,0.0,0.0,0.0,0.0023640661938534,0.0,0.0,0.0047281323877068,0.0,0.0,0.0047281323877068,0.0,0.0283687943262411,0.0,0.0,0.0,0.0,0.0141843971631205,0.0,0.0,0.0,0.0,0.04866180048661801,0.0170316301703163,0.145985401459854,0.0,0.26277372262773724,0.0,0.021897810218978103,0.0,0.043795620437956206,0.0024330900243309003,0.0,0.0,0.0024330900243309003,0.0024330900243309003,0.0,0.0,0.07542579075425791,0.0,0.0,0.0,0.0,0.0,0.046228710462287104,0.0,0.004866180048661801,True
575,7N1JMrMJQEelb0X9EFmkuV,0.699,0.847,6,-6.918,1,0.114,0.281,0.0,0.515,0.748,87.917,4,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003610108303249,0.0866425992779783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018050541516245,0.0018050541516245,0.0,0.0018050541516245,0.0,0.0252707581227436,0.0,0.0,0.0,0.0,0.0234657039711191,0.0,0.0,0.0,0.0,0.0670391061452514,0.055865921787709494,0.0893854748603352,0.0,0.25884543761638734,0.0,0.05027932960893855,0.00186219739292365,0.040968342644320296,0.01675977653631285,0.0,0.0,0.0,0.0,0.00186219739292365,0.0,0.0186219739292365,0.01675977653631285,0.0,0.00931098696461825,0.0,0.01303538175046555,0.09124767225325885,0.0,0.00558659217877095,True
576,3ch9Ur7lHFTHpeZ14utvTO,0.765,0.672,11,-9.304,0,0.209,0.0594,1.35e-05,0.568,0.361,108.004,4,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044444444444444,0.0,0.0,0.0222222222222222,0.0,0.0088888888888888,0.0,0.0,0.0,0.0,0.0177777777777777,0.0,0.0,0.0,0.0,0.04807692307692308,0.04326923076923077,0.02403846153846154,0.0,0.24519230769230768,0.0,0.04807692307692308,0.0,0.09615384615384616,0.019230769230769232,0.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.052884615384615384,0.014423076923076924,0.0,0.004807692307692308,0.0,0.028846153846153848,0.08653846153846154,0.0,0.0,True
577,2WU6EFb0VkYx7DzdJy09Kr,0.46,0.677,9,-8.313,0,0.0463,0.587,0.0,0.254,0.906,95.989,4,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0171232876712328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222602739726027,0.0,0.0,0.0017123287671232,0.0,0.0325342465753424,0.0,0.0,0.0,0.0017123287671232,0.05136986301369863,0.017123287671232876,0.125,0.0,0.24486301369863014,0.0,0.06678082191780822,0.0,0.046232876712328765,0.0136986301369863,0.0,0.0,0.0136986301369863,0.0136986301369863,0.0,0.0,0.011986301369863013,0.011986301369863013,0.0017123287671232876,0.0,0.0,0.0,0.10102739726027397,0.0,0.0017123287671232876,True
578,2Fn7wzHh7EfFmo65ysxoQ2,0.826,0.841,1,-5.524,1,0.116,0.0598,0.000187,0.336,0.851,100.051,4,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023310023310023,0.0582750582750582,0.0,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0046620046620046,0.0,0.0,0.0023310023310023,0.0,0.0442890442890442,0.0046620046620046,0.0,0.0,0.0,0.0303030303030303,0.0,0.0,0.0,0.0,0.053613053613053616,0.046620046620046623,0.05827505827505827,0.004662004662004662,0.17249417249417248,0.0,0.04895104895104895,0.013986013986013986,0.0979020979020979,0.02097902097902098,0.0,0.0,0.0,0.0,0.0,0.0,0.03496503496503497,0.013986013986013986,0.0,0.0,0.0,0.011655011655011656,0.09324009324009325,0.0,0.004662004662004662,True
579,49AxPWHLONftYDw2px7QU2,0.452,0.903,9,-5.171,0,0.213,0.0293,0.0,0.557,0.597,178.95,4,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068965517241379,0.0620689655172413,0.0,0.0,0.0022988505747126,0.0,0.0,0.0,0.0,0.0,0.0022988505747126,0.0022988505747126,0.0045977011494252,0.0,0.0091954022988505,0.0,0.0,0.0,0.0,0.0045977011494252,0.0045977011494252,0.0022988505747126,0.0,0.0,0.018518518518518517,0.027777777777777776,0.0625,0.0,0.28703703703703703,0.0,0.046296296296296294,0.004629629629629629,0.046296296296296294,0.004629629629629629,0.0,0.0,0.0,0.0,0.0023148148148148147,0.0,0.26851851851851855,0.004629629629629629,0.0,0.0023148148148148147,0.0,0.0023148148148148147,0.037037037037037035,0.0,0.004629629629629629,True
580,2yJDMvfBX5XTw8KBZUDtCn,0.362,0.842,7,-6.387,0,0.47,0.0149,0.0,0.303,0.735,177.568,5,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0418848167539267,0.0,0.0026178010471204,0.0,0.0,0.0,0.0052356020942408,0.0,0.0026178010471204,0.0026178010471204,0.0052356020942408,0.0,0.0,0.0366492146596858,0.0026178010471204,0.0,0.0,0.0,0.0209424083769633,0.0,0.0,0.0,0.0,0.06983240223463687,0.0223463687150838,0.0446927374301676,0.0,0.18994413407821228,0.0,0.0893854748603352,0.0,0.04748603351955307,0.025139664804469275,0.0,0.0,0.0,0.0,0.0223463687150838,0.0,0.030726256983240222,0.030726256983240222,0.0,0.002793296089385475,0.0,0.002793296089385475,0.07541899441340782,0.002793296089385475,0.00558659217877095,True
581,3yEvwj8KHqsN43vUoKO3DP,0.652,0.929,4,-5.565,0,0.216,0.0462,0.0,0.608,0.578,92.196,4,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046728971962616,0.0560747663551401,0.0,0.0046728971962616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014018691588785,0.0,0.014018691588785,0.0,0.0,0.0,0.0,0.0233644859813084,0.0,0.0,0.0,0.0,0.0514018691588785,0.028037383177570093,0.056074766355140186,0.0,0.19626168224299065,0.0,0.06074766355140187,0.004672897196261682,0.0794392523364486,0.009345794392523364,0.0,0.004672897196261682,0.004672897196261682,0.004672897196261682,0.0,0.0,0.018691588785046728,0.009345794392523364,0.009345794392523364,0.0,0.0,0.009345794392523364,0.0794392523364486,0.0,0.0,True
582,1KsNJwx1ABD5IiQh4kfOoj,0.486,0.801,11,-7.485,1,0.373,0.0445,0.000209,0.577,0.771,180.376,4,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0585284280936454,0.0,0.0,0.0016722408026755,0.0,0.0016722408026755,0.0,0.0,0.0050167224080267,0.0,0.0,0.0066889632107023,0.0016722408026755,0.0167224080267558,0.0,0.0,0.0,0.0,0.0066889632107023,0.0,0.0,0.0,0.0,0.0453781512605042,0.025210084033613446,0.058823529411764705,0.0,0.2605042016806723,0.0,0.09915966386554621,0.0016806722689075631,0.052100840336134456,0.013445378151260505,0.0,0.0,0.025210084033613446,0.025210084033613446,0.0033613445378151263,0.0,0.010084033613445379,0.018487394957983194,0.0,0.0033613445378151263,0.0,0.008403361344537815,0.040336134453781515,0.0,0.011764705882352941,True
583,1jr4sGi2f2bq9TnaWvB6mj,0.7,0.9,7,-6.761,1,0.369,0.057,0.0,0.399,0.781,154.054,4,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024390243902439,0.1097560975609756,0.0,0.0,0.0024390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0024390243902439,0.0024390243902439,0.0024390243902439,0.024390243902439,0.0,0.0,0.0,0.0,0.0097560975609756,0.0,0.0,0.0,0.0,0.03170731707317073,0.01707317073170732,0.10975609756097561,0.0,0.22926829268292684,0.0,0.07560975609756097,0.0,0.04878048780487805,0.00975609756097561,0.0,0.0,0.0,0.0,0.0024390243902439024,0.0,0.10975609756097561,0.012195121951219513,0.0,0.007317073170731708,0.0,0.01951219512195122,0.05121951219512195,0.0,0.0024390243902439024,True
584,574vLAnjOYgBKf6f7bmQFl,0.319,0.748,5,-8.991,0,0.173,0.0157,5.95e-06,0.626,0.715,95.004,4,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002840909090909,0.09375,0.002840909090909,0.0056818181818181,0.0,0.0,0.0,0.0,0.0,0.0056818181818181,0.0,0.0,0.0,0.0,0.0198863636363636,0.002840909090909,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.002840909090909,0.05172413793103448,0.031609195402298854,0.09482758620689655,0.0028735632183908046,0.23850574712643677,0.0,0.07471264367816093,0.008620689655172414,0.04597701149425287,0.011494252873563218,0.0,0.0,0.0,0.0,0.008620689655172414,0.0,0.040229885057471264,0.017241379310344827,0.0,0.0028735632183908046,0.0,0.008620689655172414,0.04597701149425287,0.0,0.017241379310344827,True
585,4qQ2xJkLxgsumkR4zwnvX9,0.571,0.76,5,-7.35,0,0.301,0.0404,0.0,0.491,0.396,172.172,4,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408163265306122,0.0,0.0018552875695732,0.0,0.0037105751391465,0.0,0.0,0.0,0.0,0.0,0.0,0.0037105751391465,0.0,0.0222634508348794,0.0,0.0,0.0,0.0,0.0092764378478664,0.0,0.0,0.0,0.0,0.06179775280898876,0.0299625468164794,0.04119850187265917,0.0,0.15730337078651685,0.0,0.03932584269662921,0.0,0.026217228464419477,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.26591760299625467,0.011235955056179775,0.0,0.0018726591760299626,0.0,0.0056179775280898875,0.052434456928838954,0.0,0.003745318352059925,True
586,7FGgG5UYGaVY6sQpbTFfAq,0.448,0.52,2,-11.798,0,0.433,0.777,5.13e-05,0.847,0.88,59.105,3,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044444444444444,0.0,0.0,0.0222222222222222,0.0,0.0088888888888888,0.0,0.0,0.0,0.0,0.0177777777777777,0.0,0.0,0.0,0.0,0.04807692307692308,0.04326923076923077,0.02403846153846154,0.0,0.24519230769230768,0.0,0.04807692307692308,0.0,0.09615384615384616,0.019230769230769232,0.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.052884615384615384,0.014423076923076924,0.0,0.004807692307692308,0.0,0.028846153846153848,0.08653846153846154,0.0,0.0,True
587,7kRZOKc3OofzctkFs2smv8,0.748,0.896,0,-3.819,0,0.294,0.0856,0.0,0.45,0.827,167.206,4,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002415458937198,0.0555555555555555,0.0,0.002415458937198,0.0048309178743961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0314009661835748,0.0,0.0,0.0,0.0,0.0748792270531401,0.0,0.0,0.0,0.0,0.0962962962962963,0.019753086419753086,0.056790123456790124,0.0,0.2,0.0,0.03209876543209877,0.0,0.0691358024691358,0.014814814814814815,0.0,0.0,0.0,0.0,0.0024691358024691358,0.0,0.01728395061728395,0.0345679012345679,0.0,0.0,0.0,0.0024691358024691358,0.044444444444444446,0.0,0.014814814814814815,True
588,4wZsUiT8ch4t2izwsWNueM,0.598,0.829,1,-8.374,1,0.429,0.0766,0.0,0.31,0.812,92.09,4,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048543689320388,0.0339805825242718,0.0,0.0,0.0,0.0,0.0,0.0024271844660194,0.0,0.0,0.0,0.0,0.0,0.0,0.0509708737864077,0.0,0.0,0.0,0.0,0.0194174757281553,0.0,0.0,0.0,0.0,0.045112781954887216,0.042606516290726815,0.03508771929824561,0.0,0.2531328320802005,0.0,0.022556390977443608,0.0,0.10526315789473684,0.012531328320802004,0.0,0.005012531328320802,0.0,0.0,0.0,0.0,0.06015037593984962,0.007518796992481203,0.0,0.0,0.0,0.015037593984962405,0.10275689223057644,0.0,0.0,True
589,6484IifCHQoulao2LznaZn,0.662,0.841,9,-5.347,0,0.409,0.282,0.0,0.318,0.455,88.833,4,rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044444444444444,0.0,0.0,0.0222222222222222,0.0,0.0088888888888888,0.0,0.0,0.0,0.0,0.0177777777777777,0.0,0.0,0.0,0.0,0.04807692307692308,0.04326923076923077,0.02403846153846154,0.0,0.24519230769230768,0.0,0.04807692307692308,0.0,0.09615384615384616,0.019230769230769232,0.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.052884615384615384,0.014423076923076924,0.0,0.004807692307692308,0.0,0.028846153846153848,0.08653846153846154,0.0,0.0,True
